epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,2027.77,0.60104,0.28796,0.00495,0.97322,0.97829,0.99184,0.86917,0.55467,0.20517,0.0062,0.000496274,0.000496274,0.000496274
116,2045.15,0.59099,0.2793,0.00469,0.94983,0.97292,0.98922,0.86571,0.54702,0.22923,0.00607,0.000486806,0.000486806,0.000486806
117,2063.88,0.58132,0.27651,0.00471,0.96295,0.96826,0.99216,0.8572,0.57193,0.21539,0.0064,0.000477373,0.000477373,0.000477373
118,2080.99,0.57612,0.28287,0.00488,0.9683,0.98114,0.99262,0.86742,0.5574,0.20471,0.00631,0.000467979,0.000467979,0.000467979
119,2097.6,0.60221,0.28797,0.00481,0.97736,0.9697,0.99135,0.86514,0.57195,0.20694,0.00637,0.000458624,0.000458624,0.000458624
120,2115.25,0.57765,0.27953,0.00471,0.96914,0.967,0.99139,0.85974,0.577,0.21422,0.00642,0.000449313,0.000449313,0.000449313
121,2131.96,0.59553,0.27903,0.00502,0.97449,0.97608,0.99222,0.86212,0.56595,0.20483,0.00638,0.000440046,0.000440046,0.000440046
122,2149.34,0.58185,0.26398,0.00473,0.96784,0.96652,0.9912,0.85937,0.57434,0.21539,0.00643,0.000430826,0.000430826,0.000430826
123,2168.03,0.58505,0.28748,0.00469,0.972,0.97666,0.9913,0.86164,0.56561,0.21271,0.00637,0.000421656,0.000421656,0.000421656
124,2185.1,0.57382,0.28526,0.0046,0.96509,0.97941,0.98894,0.85833,0.5558,0.22203,0.00635,0.000412537,0.000412537,0.000412537
125,2202.53,0.57272,0.27047,0.00462,0.94903,0.9718,0.98943,0.86238,0.55432,0.23499,0.00631,0.000403473,0.000403473,0.000403473
126,2219.23,0.57983,0.26699,0.00472,0.96007,0.98201,0.98992,0.86238,0.5621,0.21699,0.00632,0.000394465,0.000394465,0.000394465
127,2235.55,0.56886,0.2691,0.00475,0.95403,0.97731,0.99005,0.86543,0.55494,0.22277,0.00621,0.000385515,0.000385515,0.000385515
